image_path,captcha_text
captcha_1.png,GiTbZN
captcha_2.png,Dal75n
captcha_3.png,UO2BQH
captcha_4.png,K6yrsF
captcha_5.png,WVkMuP
captcha_6.png,A0Ljkc
captcha_7.png,AOPxdn
captcha_8.png,vwi4fP
captcha_9.png,RikW2o
captcha_10.png,D22iZI
captcha_11.png,u7voy2
captcha_12.png,nSND7j
captcha_13.png,OTuu5W
captcha_14.png,usoGnz
captcha_15.png,VZtN8J
captcha_16.png,Y391Hm
captcha_17.png,RceNQv
captcha_18.png,WXGoNL
captcha_19.png,QlMK5R
captcha_20.png,efIBU9
captcha_21.png,vnVJo5
captcha_22.png,NNPnDP
captcha_23.png,DSOzDT
captcha_24.png,Os6UVP
captcha_25.png,MyvYlq
captcha_26.png,ROWLtW
captcha_27.png,R82BJb
captcha_28.png,PIeHaq
captcha_29.png,lQk33P
captcha_30.png,aKN3CX
captcha_31.png,i20eI5
captcha_32.png,Tqw17g
captcha_33.png,nS9O3G
captcha_34.png,8eAa1p
captcha_35.png,hMZnFC
captcha_36.png,5Ags7B
captcha_37.png,TCfxiH
captcha_38.png,w8CYGj
captcha_39.png,30Xdf6
captcha_40.png,dzIMf8
captcha_41.png,SYVt6i
captcha_42.png,PGnKI0
captcha_43.png,pwLB7A
captcha_44.png,4JL9mH
captcha_45.png,f4omFV
captcha_46.png,iPhIq1
captcha_47.png,mJClVP
captcha_48.png,eiTV3d
captcha_49.png,DWmzi4
captcha_50.png,DfD5ET
captcha_51.png,gLismj
captcha_52.png,P7f3pU
captcha_53.png,rKQRzk
captcha_54.png,mfeUX2
captcha_55.png,dRZloN
captcha_56.png,UQlWkv
captcha_57.png,ebBgut
captcha_58.png,qp6A6x
captcha_59.png,Lrclhz
captcha_60.png,pas2fa
captcha_61.png,JJ0Rfu
captcha_62.png,kqoiK5
captcha_63.png,eAnQsQ
captcha_64.png,ZAiUg9
captcha_65.png,IiiioV
captcha_66.png,EmNpoi
captcha_67.png,5FumEg
captcha_68.png,nOpRMG
captcha_69.png,kRzfQZ
captcha_70.png,vRVH3J
captcha_71.png,9DVm1w
captcha_72.png,qfgNEZ
captcha_73.png,3FrnlU
captcha_74.png,xPAj3S
captcha_75.png,7qj6na
captcha_76.png,28m5T1
captcha_77.png,i260jd
captcha_78.png,g6wIYL
captcha_79.png,YO6SFO
captcha_80.png,2Jlm8s
captcha_81.png,6YMPdO
captcha_82.png,jB9dHk
captcha_83.png,30azF1
captcha_84.png,Lr5Rvc
captcha_85.png,fJajwY
captcha_86.png,N8h6G8
captcha_87.png,QBI3OL
captcha_88.png,Jd1Tlg
captcha_89.png,3Eyveg
captcha_90.png,1Aqp0D
captcha_91.png,EJEcma
captcha_92.png,ZyMqLd
captcha_93.png,NjFQ0S
captcha_94.png,zMrbwV
captcha_95.png,nHEwsJ
captcha_96.png,fPKhkl
captcha_97.png,AztF6B
captcha_98.png,H9XuZQ
captcha_99.png,ZcOLiS
captcha_100.png,vkd7rv
captcha_101.png,hChQbg
captcha_102.png,qR3yDO
captcha_103.png,xrZo86
captcha_104.png,HczN59
captcha_105.png,jXaBjs
captcha_106.png,t2ypgO
captcha_107.png,uS1wc6
captcha_108.png,OAvOMm
captcha_109.png,V9vtt2
captcha_110.png,os1612
captcha_111.png,SlmDca
captcha_112.png,ati468
captcha_113.png,0thVTz
captcha_114.png,6cwa8f
captcha_115.png,zFk2Ft
captcha_116.png,sflvBN
captcha_117.png,qcxvaZ
captcha_118.png,jJqWEw
captcha_119.png,DGM2lh
captcha_120.png,bAn9sJ
captcha_121.png,IB29cg
captcha_122.png,LRfeSA
captcha_123.png,YfGW1p
captcha_124.png,90bmnQ
captcha_125.png,QH6MCm
captcha_126.png,EPo2Aa
captcha_127.png,0ainMt
captcha_128.png,xC4Fp8
captcha_129.png,fJU26J
captcha_130.png,5MyNxb
captcha_131.png,e8RTMm
captcha_132.png,uDYBed
captcha_133.png,Ant8ra
captcha_134.png,zAlnRA
captcha_135.png,P5Qaix
captcha_136.png,xrzhca
captcha_137.png,TsskVt
captcha_138.png,umOEAR
captcha_139.png,OLtbwo
captcha_140.png,U1MB58
captcha_141.png,cP2SNg
captcha_142.png,b4XrHB
captcha_143.png,RmQnpS
captcha_144.png,K8YnwZ
captcha_145.png,FFud23
captcha_146.png,I2ZN5W
captcha_147.png,PBLMV2
captcha_148.png,9H5A7Z
captcha_149.png,WJ7xyn
captcha_150.png,zi6RaQ
captcha_151.png,ZV83hq
